Date = 2020-03-04 17:27:39 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:27:44 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:27:44 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:27:46 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:27:46 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:27:46 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:27:46 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:27:51 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:27:51 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:27:53 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:27:53 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:27:53 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:27:53 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:27:58 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:27:58 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:28:00 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:28:00 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:28:00 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:28:00 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:28:05 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:28:05 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:28:07 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:28:07 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:28:07 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:28:07 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:28:12 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:28:12 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:28:15 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:28:15 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
