Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BENIYABAGH_TIRAHA2
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BENIYABAGH_TIRAHA1
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BENIYABAGH_TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  DAINIK JAGRAN TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  DAINIK_JAGRAN TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  DAINIK_JAGRAN TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  DHAUSABAD TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  DHAUSABAAD_TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  DHAUSABAAD_TIRAHA 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  HARSEVANAND TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  HARSEVANAND_SCHOOL PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  HARSEVANAND_SCHOOL
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  SAMNE GHAT TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SAMNE_GHAT PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SAMNE_GHAT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  NARIYA TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  NARIYA_TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  NARIYA_TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  KHAJURI TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  KHAJURI_TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  KHAJURI_TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  VISWANATH MISTHAN BHANDAR 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  VISWANATH_MISTHAN BHANDAR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  VISWANATH_MISTHAN BHANDAR PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  CHOWK CHAURAHA 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  CHOWK CHAURAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  CHOWK CHAURAHA TOWRADS LBS
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  MALDHAIYA CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MALDHAIYA_CHAURAHA TOWARDS ANDHRAPUL
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MALDHAIYA_CHAURAHA TOWARDS LOHAMANDI
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MALDHAIYA_CHAURAHA TOWARDS ENGLISIYA LINE
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MALDHAIYA_CHAURAHA TOWARDS SAJAN
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  SIGRA CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SIGRA_CHAURAHA TOWARDS LUXA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SIGRA_CHAURAHA TOWARDS SAJAN
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SIGRA_CHAURAHA TOWARDS AKSHVANI
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SIGRA_CHAURAHA TOWARDS RATHYATRA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  RATHYATRA CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  RATHYATRA_CHAURAHA TOWARDS GADOLIYA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  RATHYATRA_CHAURAHA TOWARDS AKSHVANI
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  RATHYATRA_CHAURAHA TOWARDS SIGRA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  RATHYATRA_CHAURAHA TOWARDS NEEMA MAI
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  MANDUADIH CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MANDUADIH_CHAURAHA TOWRADS LAHARTARA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MANDUADIH_CHAURAHA TOWRADS MAHMOORGANJ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MANDUADIH_CHAURAHA TOWRADS DLW
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MANDUADIH_CHAURAHA TOWRADS CHANDPUR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  LAHARTARA CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LAHARTARA_CHAURAHA TOWRADS PHULWARIA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LAHARTARA_CHAURAHA TOWRADS MANDUADIH
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LAHARTARA_CHAURAHA TOWARDS CHANDPUR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  BHU CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BHU_CHAURAHA TOWARDS DLW
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BHU_CHAURAHA TOWARDS SAMNE GHAT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BHU_CHAURAHA TOWARDS BHU GATE
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  AKSHVANI TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  AKSHVANI_TIRAHA TOWARDS SIGRA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  AKSHVANI_TIRAHA TOWARDS RATHYATRA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  AKSHVANI_TIRAHA TOWARDS MANDAUDIH
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  SAJAN TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SAJAN_TIRAHA TOWRADS ENGLISIYA LINE
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SAJAN_TIRAHA TOWARDS SIGRAA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SAJAN_TIRAHA TOWARDS SIGRA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  ASIYANA TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  AASIYANA TIRAHA TOWARDS JHV MALL
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  AASIYANA TIRAHA TOWARDS NADESAR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  AASIYANA TIRAHA TOWARDS KACHHARI
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  SUNDERPUR CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SUNDERPUR CHAURAHA PTZ
